"","university","percent_disagree_strongly_2020","percent_disagree_mildly_2020","percent_neutral_2020","percent_agree_mildly_2020","percent_agree_strongly_2020","sample_size_2020","respondents_2020","percent_disagree_strongly_2021","percent_disagree_mildly_2021","percent_neutral_2021","percent_agree_mildly_2021","percent_agree_strongly_2021","sample_size_2021","respondents_2021"
"334","TEC Partnership",2,5,8,35,50,377,284,4,6,12,39,40,357,268
"335","Teesside University",3,7,8,42,40,3106,2274,6,11,15,43,25,2960,1886
"336","Telford College",0,0,6,47,47,21,17,0,8,33,42,17,13,12
"337","The Trafford College Group",2,2,7,41,48,112,58,9,6,18,30,36,56,33
"338","Trinity College (Bristol) Limited",0,0,0,24,76,29,25,0,0,4,39,57,27,23
"339","Trinity Laban Conservatoire of Music and Dance",3,6,10,53,28,211,137,6,8,15,44,26,249,180
"340","Truro and Penwith College",5,6,6,46,38,136,109,2,8,10,34,45,159,122
"341","Tyne Coast College",4,18,11,47,20,80,45,9,9,13,48,20,99,54
"342","UCK Limited",0,1,3,33,63,210,159,1,2,7,42,49,275,228
"343","UK College of Business and Computing Ltd",1,0,5,39,55,295,235,NA,NA,NA,NA,NA,NA,NA
"344","University of Ulster",3,5,9,42,41,4080,3052,3,6,10,42,39,4119,3164
"345","United Colleges Group",0,0,13,42,46,31,24,0,7,7,45,41,36,29
"346","Wakefield College",0,8,13,28,51,66,53,2,2,10,33,53,121,93
"347","University of Wales Trinity Saint David",3,5,9,34,49,1461,1099,5,9,11,37,39,1750,1248
"348","The University of Warwick",2,5,8,43,43,4426,3302,3,5,9,42,41,4897,3404
"349","Warwickshire College",12,18,14,36,20,303,210,2,11,11,47,28,131,88
"350","West Herts College",0,0,0,32,68,36,19,9,0,9,44,38,48,32
"351","The University of West London",2,6,6,37,49,2147,1770,5,6,11,36,41,2370,1834
"352","West Nottinghamshire College",4,7,15,47,27,76,55,NA,NA,NA,NA,NA,NA,NA
"353","University of the West of England, Bristol",2,4,6,40,48,5079,3958,5,8,11,43,34,5756,4391
"354","University of the West of Scotland",2,5,9,48,37,2742,2058,5,9,12,49,24,2596,2075
"355","The University of Westminster",3,5,12,47,33,3758,2717,6,8,14,46,25,3933,2563
"356","Weston College of Further and Higher Education",1,5,7,39,48,105,85,3,3,8,30,55,117,87
"357","Weymouth College",0,7,4,30,59,33,27,0,9,14,32,45,36,22
"358","Wigan and Leigh College",7,9,7,42,35,134,98,3,5,9,45,38,109,92
"359","Wiltshire College and University Centre",12,12,12,53,12,22,17,5,0,0,45,50,29,22
"360","University of Winchester",4,7,8,45,36,1757,1054,7,11,13,43,27,1948,1361
"361","The Windsor Forest Colleges Group",13,13,16,35,23,48,31,0,0,11,21,68,25,19
"362","Wirral Metropolitan College",18,9,6,29,38,60,34,0,24,17,29,29,66,41
"363","The WKCIC Group",12,2,12,45,29,67,42,14,7,25,32,21,38,28
"364","University of Wolverhampton",3,7,9,45,36,3087,2192,6,9,13,39,32,3035,2176
"365","University of Worcester",3,6,6,42,43,2274,1690,4,7,11,43,34,2153,1580
"366","Wrexham Glyndŵr University",4,6,9,39,42,625,445,4,6,14,31,46,546,409
"367","Writtle University College",1,5,4,38,52,180,162,2,6,13,40,40,145,119
"368","Yeovil College",4,7,21,25,43,41,28,3,3,11,59,24,48,37
"369","University of York",3,5,7,45,41,3550,2347,5,7,10,42,36,3794,2369
"370","York College",3,3,10,44,41,68,39,0,4,11,33,52,50,27
"371","York St John University",2,5,8,42,43,1661,1099,4,9,10,40,36,1624,991
"372","Medway School of Pharmacy",4,6,11,50,29,231,130,NA,NA,NA,NA,NA,NA,NA
"373","Hull and York Medical School",1,6,6,50,38,130,104,2,7,8,42,40,144,126
"374","Brighton and Sussex Medical School",0,0,4,18,79,118,112,2,1,2,24,71,120,104
"375",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,50,50,14,10
"376",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,70,11,10
"377",NA,NA,NA,NA,NA,NA,NA,NA,0,30,0,30,40,12,10
"378",NA,NA,NA,NA,NA,NA,NA,NA,6,11,17,43,24,449,254
"379",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,70,30,13,10
"380",NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,33,60,323,231
"381",NA,NA,NA,NA,NA,NA,NA,NA,0,4,8,29,58,31,24
"382",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,36,64,17,14
"383",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,38,62,19,13
"384",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,55,45,12,11
"385",NA,NA,NA,NA,NA,NA,NA,NA,0,7,12,36,45,122,69
"386",NA,NA,NA,NA,NA,NA,NA,NA,14,14,11,34,26,216,111
"387",NA,NA,NA,NA,NA,NA,NA,NA,13,0,26,26,35,42,23
"388",NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,42,37,112,67
"389",NA,NA,NA,NA,NA,NA,NA,NA,0,9,9,82,0,17,11
