"","university","percent_disagree_strongly_2020","percent_disagree_mildly_2020","percent_neutral_2020","percent_agree_mildly_2020","percent_agree_strongly_2020","sample_size_2020","respondents_2020","percent_disagree_strongly_2021","percent_disagree_mildly_2021","percent_neutral_2021","percent_agree_mildly_2021","percent_agree_strongly_2021","sample_size_2021","respondents_2021"
"104","East Sussex College Group",5,12,14,44,25,237,151,3,7,12,34,43,213,134
"105","Edge Hill University",5,8,10,43,35,2811,1910,6,9,11,43,31,2851,1966
"106","University of Edinburgh",4,8,10,48,30,4767,3001,6,11,12,47,24,5180,3305
"107","Edinburgh Napier University",3,5,7,45,41,2362,1782,4,7,8,45,36,2383,1797
"108","The Edward James Foundation Limited",0,9,9,36,45,18,11,NA,NA,NA,NA,NA,NA,NA
"109","EKC Group",3,3,13,31,50,63,32,6,13,19,34,28,42,32
"110","Elim Foursquare Gospel Alliance",4,0,11,39,46,41,28,3,3,15,27,52,34,33
"111","Empire College London Limited",0,0,0,31,69,53,29,0,0,0,28,72,64,58
"112","The University of Essex",3,5,10,43,39,3081,1816,5,9,13,47,25,3630,2377
"113","University College of Estate Management",4,4,8,57,26,217,157,3,8,15,51,24,358,233
"114","University of Exeter",2,5,7,47,39,5171,3254,4,9,10,47,30,6001,3956
"115","Exeter College",0,3,0,49,49,72,37,2,9,4,42,43,68,53
"116","Fairfield School of Business Ltd",0,6,14,35,45,124,69,2,2,6,30,60,165,126
"117","Falmouth University",4,8,11,41,37,1912,1459,6,9,12,41,32,1521,1208
"118","Fareham College",7,7,7,43,37,48,30,4,12,15,46,23,30,26
"119","Farnborough College of Technology",1,8,8,49,35,111,78,4,8,6,42,40,132,98
"120","The Film Education Training Trust Limited",0,15,8,0,77,16,13,3,14,25,47,11,47,36
"121","ForMission Ltd",0,0,4,39,57,31,23,0,6,0,35,59,21,17
"122","Furness College",10,4,7,46,33,125,70,3,8,10,50,30,63,40
"123","Futureworks Training Limited",4,13,14,33,36,133,94,4,5,5,46,41,110,83
"124","Gateshead College",14,9,9,33,35,69,57,14,9,14,36,27,24,22
"125","University of Glasgow",1,4,7,44,43,4092,2832,2,6,9,45,39,3877,2917
"126","Glasgow Caledonian University",3,6,7,44,41,3220,2139,4,7,11,45,33,3028,2173
"127","Glasgow School of Art",10,15,18,37,21,395,274,16,17,14,37,16,387,311
"128","University of Gloucestershire",3,8,8,44,37,1863,1439,5,9,11,42,32,1759,1371
"129","Gloucestershire College",0,0,11,42,47,27,19,5,5,11,47,32,27,19
"130","Goldsmiths' College",6,12,16,44,23,1894,1086,9,12,17,42,19,1877,1131
