hhwealth	hhwealthlog	midstatus	highstatus	owner	age	agelog	black	usborn	z1ev	z1elite_avgprox	z1maj_avgprox	z1min_avgprox	turnout	dem
0.5	-0.6911491751670837	1.0	0.0	0.0	40	3.6888794898986816	0.0	1.0	-0.27097180485725403	0.33933573961257935	0.2548159658908844	0.40482598543167114	0.0	NA
0.5	-0.6911491751670837	1.0	0.0	1.0	40	3.6888794898986816	1.0	1.0	-0.2713300883769989	0.6315653324127197	0.6517218947410583	0.6437325477600098	1.0	0.2857142984867096
0.0	-6.907755374908447	1.0	0.0	0.0	45	3.8066625595092773	0.0	1.0	-0.28433892130851746	0.4790976047515869	0.31587842106819153	0.6198420524597168	0.0	NA
1.5	0.4061315655708313	1.0	0.0	0.0	37	3.610917806625366	0.0	1.0	-0.2749533951282501	0.6569764614105225	0.6822531223297119	0.5959513187408447	0.0	NA
1.5	0.4061315655708313	1.0	0.0	0.0	38	3.6375861167907715	0.0	1.0	-0.2870464026927948	0.30121898651123047	0.28534719347953796	0.3092634677886963	0.0	NA
6.300000190734863	1.8407083749771118	0.0	0.0	1.0	62	4.127134323120117	0.0	1.0	-0.2825317978858948	0.5045090317726135	0.6517218947410583	0.3809354603290558	0.0	NA
2.0	0.693647027015686	0.0	0.0	0.0	32	3.465735912322998	1.0	1.0	-0.28391799330711365	0.36474713683128357	0.4074721038341522	0.3092634677886963	1.0	0.1111111119389534
2.0	0.693647027015686	0.0	1.0	0.0	29	3.367295742034912	0.0	1.0	-0.28613951802253723	0.326630175113678	0.37694087624549866	0.2614821791648865	1.0	1.0
0.15000000596046448	-1.8904753923416138	1.0	0.0	0.0	19	2.944438934326172	0.0	1.0	-0.27492755651474	0.720504641532898	0.7738468050956726	0.6437325477600098	1.0	0.3333333432674408
0.15000000596046448	-1.8904753923416138	0.0	0.0	0.0	16	2.7725887298583984	0.0	1.0	-0.28716132044792175	0.28851318359375	0.3464096486568451	0.21370069682598114	0.0	NA
0.15000000596046448	-1.8904753923416138	1.0	0.0	0.0	22	3.0910425186157227	0.0	1.0	-0.27492755651474	0.720504641532898	0.7738468050956726	0.6437325477600098	1.0	0.4444444477558136
155.0	5.043431758880615	1.0	0.0	0.0	20	2.995732307434082	0.0	1.0	-0.2692597806453705	0.7840330004692078	0.8654404878616333	0.6915138363838196	0.0	NA
155.0	5.043431758880615	1.0	0.0	1.0	53	3.97029185295105	0.0	1.0	-0.2814873158931732	0.4790976047515869	0.5906594395637512	0.3809354603290558	0.0	NA
0.39500001072883606	-0.9263410568237305	1.0	0.0	0.0	24	3.178053855895996	0.0	0.0	-0.28149786591529846	0.326630175113678	0.4380033314228058	0.2375914454460144	1.0	0.4444444477558136
0.39500001072883606	-0.9263410568237305	1.0	0.0	1.0	30	3.4011974334716797	0.0	0.0	-0.28149786591529846	0.326630175113678	0.4380033314228058	0.2375914454460144	1.0	0.1428571492433548
0.39500001072883606	-0.9263410568237305	1.0	0.0	0.0	34	3.526360511779785	0.0	1.0	-0.2750478684902191	0.6061541438102722	0.6822531223297119	0.5003887414932251	1.0	0.1111111119389534
15.5	2.7409045696258545	1.0	0.0	1.0	51	3.931825637817383	0.0	0.0	-0.28727322816848755	-0.3213571012020111	-0.3252773582935333	-0.35967499017715454	0.0	NA
5.199999809265137	1.648850917816162	1.0	0.0	1.0	37	3.610917806625366	0.0	0.0	-0.28713783621788025	0.2503964304924011	0.2548159658908844	0.2375914454460144	0.0	NA
4.159999847412109	1.4257553815841675	0.0	1.0	1.0	51	3.931825637817383	0.0	1.0	-0.28710025548934937	0.33933573961257935	0.4074721038341522	0.2614821791648865	0.0	NA
26.799999237060547	3.2884392738342285	0.0	0.0	1.0	58	4.060442924499512	0.0	1.0	-0.28610289096832275	0.33933573961257935	0.4074721038341522	0.2614821791648865	1.0	0.0
0.07500000298023224	-2.577021837234497	1.0	0.0	0.0	27	3.295836925506592	0.0	1.0	-0.2859906554222107	0.2503964304924011	0.31587842106819153	0.18981017172336578	1.0	1.0
0.07500000298023224	-2.577021837234497	1.0	0.0	0.0	30	3.4011974334716797	0.0	1.0	-0.2870227098464966	0.19957387447357178	0.2548159658908844	0.14202891290187836	1.0	0.7142857313156128
0.07500000298023224	-2.577021837234497	0.0	1.0	0.0	50	3.9120230674743652	0.0	1.0	-0.2870890200138092	0.19957387447357178	0.2548159658908844	0.14202891290187836	0.0	NA
6.324999809265137	1.8446681499481201	1.0	0.0	1.0	39	3.6635615825653076	0.0	1.0	-0.28713470697402954	0.19957387447357178	0.2548159658908844	0.14202891290187836	1.0	0.8888888955116272
5.349999904632568	1.6772834062576294	1.0	0.0	1.0	54	3.9889841079711914	0.0	1.0	-0.27031686902046204	0.4409808814525604	0.4074721038341522	0.476498007774353	0.0	NA
5.349999904632568	1.6772834062576294	0.0	1.0	0.0	30	3.4011974334716797	0.0	1.0	-0.2860947251319885	0.27580758929252625	0.28534719347953796	0.2614821791648865	0.0	NA
5.349999904632568	1.6772834062576294	1.0	0.0	0.0	33	3.4965076446533203	0.0	1.0	-0.284267783164978	0.5172145962715149	0.37694087624549866	0.6437325477600098	0.0	NA
0.15000000596046448	-1.8904753923416138	0.0	1.0	0.0	40	3.6888794898986816	0.0	1.0	-0.287097305059433	0.3139245808124542	0.4074721038341522	0.21370069682598114	0.0	NA
0.10000000149011612	-2.2926347255706787	0.0	0.0	0.0	18	2.890371799468994	0.0	1.0	-0.28714385628700256	0.18686829507350922	0.22428473830223083	0.14202891290187836	1.0	0.2222222238779068
