hhwealth	hhwealthlog	midstatus	highstatus	owner	age	agelog	church	usborn	z1ev	z1elite_avgprox	z1maj_avgprox	z1min_avgprox	turnout	opp
0.05000000074505806	-2.9759297370910645	0.0	0.0	0.0	60	4.094344615936279	0.0	1.0	4.571106910705566	0.8287457227706909	0.7781296372413635	0.9623028039932251	0.0	NA
0.05000000074505806	-2.9759297370910645	1.0	0.0	0.0	35	3.5553481578826904	0.0	1.0	-0.22592666745185852	-0.08821594715118408	-0.07563132047653198	-0.14180007576942444	1.0	1.0
0.05000000074505806	-2.9759297370910645	1.0	0.0	0.0	45	3.8066625595092773	0.0	1.0	-0.22599847614765167	-0.3502049446105957	-0.39369919896125793	-0.18596431612968445	1.0	1.0
0.5299999713897705	-0.6329933404922485	0.0	0.0	0.0	42	3.7376697063446045	0.0	0.0	4.570829391479492	0.8287457227706909	0.7781296372413635	0.9623028039932251	0.0	NA
0.052000001072883606	-2.9374632835388184	1.0	0.0	0.0	52	3.9512436389923096	1.0	0.0	-0.14933088421821594	1.0689022541046143	1.1464189291000366	0.7856464385986328	0.0	NA
0.020999999716877937	-3.8167128562927246	1.0	0.0	0.0	43	3.761200189590454	0.0	1.0	-0.22235740721225739	0.7741646766662598	0.7613893151283264	0.7856464385986328	1.0	0.0
3.069999933242798	1.122003197669983	0.0	0.0	0.0	39	3.6635615825653076	0.0	1.0	-0.23173710703849792	0.4903431236743927	0.527023434638977	0.4323333501815796	1.0	1.0
0.0	-6.907755374908447	0.0	0.0	0.0	27	3.295836925506592	1.0	1.0	4.597062110900879	1.167148232460022	1.1464189291000366	1.3156158924102783	1.0	1.0
0.027000000700354576	-3.5755507946014404	1.0	0.0	0.0	26	3.25809645652771	0.0	1.0	-0.2326647937297821	0.43576207756996155	0.4098407030105591	0.38816940784454346	1.0	1.0
2.8299999237060547	1.0406299829483032	0.0	0.0	0.0	32	3.465735912322998	1.0	1.0	-0.1848851591348648	0.861494243144989	0.8953127264976501	0.7856464385986328	1.0	1.0
0.052000001072883606	-2.9374632835388184	1.0	0.0	0.0	38	3.6375861167907715	1.0	1.0	-0.13486704230308533	1.0798184871673584	1.096197485923767	1.0947952270507813	1.0	1.0
0.052000001072883606	-2.9374632835388184	1.0	0.0	0.0	45	3.8066625595092773	0.0	1.0	-0.22206911444664001	0.7741646766662598	0.7613893151283264	0.7856464385986328	1.0	1.0
1.600000023841858	0.47062844038009644	1.0	0.0	0.0	26	3.25809645652771	0.0	1.0	-0.233562171459198	0.4685108959674835	0.5102831125259399	0.38816940784454346	1.0	1.0
1.600000023841858	0.47062844038009644	1.0	0.0	1.0	57	4.043051242828369	0.0	1.0	-0.233562171459198	0.4685108959674835	0.5102831125259399	0.38816940784454346	1.0	1.0
2.5	0.9166906476020813	1.0	0.0	1.0	52	3.9512436389923096	1.0	1.0	-0.20851194858551025	1.0579862594604492	1.12967848777771	0.9623028039932251	1.0	0.800000011920929
8.897000312805176	2.185826539993286	0.0	1.0	1.0	50	3.9120230674743652	1.0	1.0	-0.13474367558956146	1.0470699071884155	1.096197485923767	0.9623028039932251	1.0	1.0
8.897000312805176	2.185826539993286	0.0	1.0	0.0	23	3.1354942321777344	0.0	1.0	-0.23229245841503143	0.3811810314655304	0.3428789973258972	0.4323333501815796	1.0	1.0
0.0	-6.907755374908447	1.0	0.0	0.0	64	4.158883094787598	0.0	1.0	-0.2251107543706894	0.2065218836069107	0.2089555710554123	0.2556769549846649	0.0	NA
1.0169999599456787	0.017839878797531128	0.0	0.0	1.0	39	3.6635615825653076	1.0	1.0	-0.22430190443992615	0.6759188175201416	0.7446489334106445	0.6089900135993958	1.0	1.0
0.0	-6.907755374908447	1.0	0.0	0.0	65	4.174387454986572	0.0	1.0	-0.23310178518295288	0.5121756792068481	0.49354276061058044	0.4323333501815796	0.0	NA
4.375	1.476135015487671	0.0	0.0	1.0	47	3.8501474857330322	1.0	1.0	-0.13295142352581024	1.0798184871673584	1.1129381656646729	1.0064671039581299	0.0	NA
2.0999999046325684	0.7424134016036987	1.0	0.0	0.0	32	3.465735912322998	0.0	0.0	-0.22877542674541473	0.6977511048316956	0.6274658441543579	0.6089900135993958	0.0	NA
2.0999999046325684	0.7424134016036987	1.0	0.0	1.0	48	3.8712010383605957	0.0	0.0	-0.23385368287563324	0.2065218836069107	0.27591729164123535	0.07902056723833084	1.0	1.0
0.0020000000949949026	-5.80914306640625	0.0	0.0	0.0	48	3.8712010383605957	0.0	1.0	4.589140892028809	0.861494243144989	0.8283510208129883	0.9623028039932251	1.0	1.0
0.0020000000949949026	-5.80914306640625	1.0	0.0	0.0	28	3.332204580307007	0.0	1.0	-0.21637122333049774	0.5995052456855774	0.5772448182106018	0.5206618309020996	1.0	0.20000000298023224
0.019999999552965164	-3.8632328510284424	1.0	0.0	0.0	57	4.043051242828369	0.0	1.0	-0.23368360102176666	0.29385143518447876	0.30939799547195435	0.21151301264762878	0.0	NA
0.012000000104308128	-4.342805862426758	1.0	0.0	0.0	45	3.8066625595092773	0.0	1.0	-0.23418933153152466	0.3811810314655304	0.4265810549259186	0.07902056723833084	1.0	1.0
0.007000000216066837	-4.828313827514648	0.0	0.0	0.0	36	3.5835189819335937	1.0	1.0	-0.13194705545902252	1.1125673055648804	1.1464189291000366	1.0947952270507813	1.0	1.0
1.371999979019165	0.31699812412261963	1.0	0.0	1.0	61	4.110873699188232	1.0	1.0	-0.183678537607193	0.85057830810546875	0.8785723447799683	0.7856464385986328	1.0	1.0
